25                , 7:42:18, 12/9/2022
326                , 7:42:24, 12/9/2022
149                , 7:42:33, 12/9/2022
53                , 7:44:9, 12/9/2022
305                , 7:44:15, 12/9/2022
68                , 7:44:23, 12/9/2022
354                , 7:44:42, 12/9/2022
104                , 7:46:30, 12/9/2022
145                , 7:48:33, 12/9/2022
283                , 7:49:12, 12/9/2022
674                , 7:49:23, 12/9/2022
674                , 7:49:25, 12/9/2022
649                , 7:49:36, 12/9/2022
184                , 7:50:51, 12/9/2022
187                , 7:51:1, 12/9/2022
359                , 7:51:6, 12/9/2022
226                , 7:51:18, 12/9/2022
226                , 7:51:20, 12/9/2022
477                , 7:51:44, 12/9/2022
538                , 7:52:23, 12/9/2022
273                , 7:53:18, 12/9/2022
242                , 7:54:16, 12/9/2022
166                , 7:54:26, 12/9/2022
430                , 7:54:42, 12/9/2022
373                , 7:54:49, 12/9/2022
46                , 7:55:10, 12/9/2022
675                , 7:55:37, 12/9/2022
87                , 7:55:54, 12/9/2022
87                , 7:55:56, 12/9/2022
575                , 7:56:47, 12/9/2022
575                , 7:56:51, 12/9/2022
228                , 7:57:7, 12/9/2022
228                , 7:57:9, 12/9/2022
371                , 7:58:3, 12/9/2022
645                , 7:58:51, 12/9/2022
321                , 8:0:53, 12/9/2022
369                , 8:1:53, 12/9/2022
648                , 8:3:21, 12/9/2022
558                , 8:3:45, 12/9/2022
5                , 8:4:11, 12/9/2022
189                , 8:4:17, 12/9/2022
189                , 8:4:22, 12/9/2022
458                , 8:4:30, 12/9/2022
260                , 8:5:6, 12/9/2022
240                , 8:6:19, 12/9/2022
389                , 8:7:42, 12/9/2022
416                , 8:7:58, 12/9/2022
195                , 8:8:49, 12/9/2022
721                , 8:9:2, 12/9/2022
476                , 8:9:36, 12/9/2022
410                , 8:10:46, 12/9/2022
560                , 8:11:3, 12/9/2022
435                , 8:11:21, 12/9/2022
209                , 8:12:40, 12/9/2022
652                , 8:12:44, 12/9/2022
463                , 8:12:49, 12/9/2022
343                , 8:12:53, 12/9/2022
285                , 8:12:59, 12/9/2022
285                , 8:13:0, 12/9/2022
520                , 8:13:4, 12/9/2022
495                , 8:13:13, 12/9/2022
329                , 8:13:17, 12/9/2022
329                , 8:13:18, 12/9/2022
450                , 8:13:42, 12/9/2022
69                , 8:13:48, 12/9/2022
576                , 8:14:17, 12/9/2022
176                , 8:14:21, 12/9/2022
73                , 8:14:27, 12/9/2022
73                , 8:14:29, 12/9/2022
168                , 8:14:37, 12/9/2022
557                , 8:14:58, 12/9/2022
557                , 8:15:0, 12/9/2022
426                , 8:15:5, 12/9/2022
157                , 8:15:12, 12/9/2022
120                , 8:15:21, 12/9/2022
868                , 8:15:53, 12/9/2022
138                , 8:16:59, 12/9/2022
896                , 8:17:8, 12/9/2022
715                , 8:17:35, 12/9/2022
372                , 8:17:43, 12/9/2022
173                , 8:18:16, 12/9/2022
86                , 8:19:2, 12/9/2022
370                , 8:19:19, 12/9/2022
133                , 8:19:31, 12/9/2022
71                , 8:19:37, 12/9/2022
248                , 8:19:47, 12/9/2022
253                , 8:19:55, 12/9/2022
348                , 8:20:2, 12/9/2022
432                , 8:20:9, 12/9/2022
220                , 8:20:18, 12/9/2022
386                , 8:20:44, 12/9/2022
386                , 8:22:1, 12/9/2022
553                , 8:23:37, 12/9/2022
252                , 8:23:43, 12/9/2022
646                , 8:23:48, 12/9/2022
336                , 8:23:57, 12/9/2022
221                , 8:24:4, 12/9/2022
561                , 8:24:13, 12/9/2022
259                , 8:24:33, 12/9/2022
259                , 8:24:34, 12/9/2022
464                , 8:25:4, 12/9/2022
181                , 8:25:21, 12/9/2022
721                , 8:25:35, 12/9/2022
769                , 8:25:58, 12/9/2022
123                , 8:26:5, 12/9/2022
469                , 8:26:14, 12/9/2022
562                , 8:26:22, 12/9/2022
261                , 8:26:34, 12/9/2022
721                , 8:27:8, 12/9/2022
257                , 8:27:27, 12/9/2022
530                , 8:27:56, 12/9/2022
721                , 8:28:56, 12/9/2022
748                , 8:30:56, 12/9/2022
9                , 8:31:3, 12/9/2022
890                , 8:31:8, 12/9/2022
343                , 8:31:18, 12/9/2022
575                , 8:32:13, 12/9/2022
584                , 8:32:55, 12/9/2022
472                , 8:33:18, 12/9/2022
130                , 8:33:27, 12/9/2022
872                , 8:33:43, 12/9/2022
785                , 8:33:54, 12/9/2022
183                , 8:33:58, 12/9/2022
183                , 8:34:4, 12/9/2022
281                , 8:34:24, 12/9/2022
